Y,CustomerID,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
0,12346,604,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12348,120,238,60,60,109,109,181,553,364,2213,1535,188,119,119,52,52,11,491,270,2350,1088,676,11,408,607,546,709,11,408,607,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12349,603,2259,1333,649,1072,488,344,140,79,1793,148,199,21,7,14,61,2039,249,1925,1646,506,679,1048,2,47,96,265,373,598,389,1359,627,350,146,1826,158,335,375,1964,236,793,358,1177,80,89,175,435,272,759,843,1879,345,953,817,207,1410,282,221,147,1388,320,417,718,795,296,878,169,1276,589,820,1423,366,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12350,217,1117,1073,1847,384,2139,102,148,821,110,203,93,11,900,859,1774,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12352,1155,630,779,1325,402,348,524,1839,31,86,684,251,666,829,11,509,589,78,308,1066,2,412,876,116,537,70,1406,842,56,1196,11,412,596,41,275,156,156,156,156,156,156,385,820,131,1375,596,431,288,596,820,431,1375,385,288,131,11,596,820,431,1375,385,288,131,680,199,492,50,151,249,27,316,214,86,7,2,1066,1196,1541,22,532,11,321,61,50,59,829,631,7,192,116,749,537,1066,1196,11,,,,,
0,12353,937,823,922,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12354,48,144,240,477,1051,356,802,781,434,273,458,80,835,49,25,56,301,5,829,1238,401,485,190,1694,509,68,402,36,550,1288,188,469,313,1862,1625,472,847,904,447,424,237,1610,152,1550,1009,59,259,1218,1432,253,317,326,389,374,658,661,41,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12355,479,546,408,922,714,2,852,24,29,66,1935,1724,1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12356,41,1900,1179,1812,169,2336,1765,1160,1100,488,344,560,1026,100,1594,120,1289,691,878,714,308,820,1122,1423,2214,60,428,1070,2,177,97,238,109,995,152,11,2,152,60,8,879,641,2671,2015,395,1485,1189,740,265,36,171,100,179,1370,2,955,66,24,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12358,441,165,336,954,878,308,11,1257,878,937,1370,366,954,165,441,336,78,1279,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12361,56,80,33,5,133,19,49,301,175,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12363,96,1351,830,109,52,305,8,120,60,381,2591,1535,641,395,1065,322,793,235,297,324,119,929,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12364,1318,1934,1884,1562,1634,864,421,949,709,179,36,265,573,333,182,1154,378,700,318,303,203,11,751,791,2729,427,1023,953,1864,797,1924,2232,1575,1964,3082,1017,1264,333,1154,460,1812,780,525,509,1274,1319,2668,95,11,11,68,22,4,402,653,378,60,319,113,238,52,305,877,1065,395,641,322,709,1109,619,1274,109,572,949,421,864,435,152,8,36,179,411,265,11,653,,,,,,,,,,,,,,,
0,12365,1831,125,290,1565,2146,1487,1112,1324,2,24,66,428,381,1377,888,1392,1199,1011,1525,29,3138,156,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12367,682,499,1845,2137,321,49,301,56,1575,797,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12371,888,1630,784,972,606,695,1593,1499,682,268,39,1127,1246,1223,1968,340,315,105,150,186,328,118,226,189,142,71,67,200,1529,1669,704,692,489,2145,1917,963,1233,1635,1707,1667,1919,2329,2179,2719,1216,1193,979,1509,454,222,967,1347,2263,9,5,278,204,343,2,2092,611,1715,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12372,82,56,301,80,133,854,1202,2371,938,1656,147,130,749,1306,951,326,1326,696,49,11,56,3082,1017,1264,797,953,1838,1520,1522,102,147,175,326,41,80,133,660,49,11,1668,696,49,56,301,82,1497,80,102,147,175,749,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12373,112,15,146,32,63,33,133,57,80,189,3,75,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12374,489,1042,2,120,2411,983,264,449,1205,885,841,159,577,410,118,54,142,115,2146,1685,1606,843,584,808,1207,2615,541,430,432,637,718,1756,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12375,57,136,44,88,91,11,44,273,502,63,75,136,88,112,317,51,55,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12377,4043,54,3946,903,1246,1412,1656,938,1722,1860,1202,2371,175,147,82,301,49,56,821,725,734,182,393,448,815,102,28,35,143,247,69,223,371,357,596,133,565,826,576,478,2040,898,764,1466,134,326,2869,2050,1164,1541,1407,2298,509,318,68,2151,155,36,179,230,1340,1490,141,80,765,393,182,525,2444,2483,1555,1656,938,1202,433,1903,11,,,,,,,,,,,,,,,,,,,,,,,
